x,y,value
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
0,2,0
1,2,0
2,2,0
3,2,0
4,2,0
5,2,0
6,2,0
7,2,0
8,2,0
9,2,0
0,3,0
1,3,0
2,3,0
3,3,0
4,3,0
5,3,0
6,3,0
7,3,0
8,3,0
9,3,0
0,4,0
1,4,0
2,4,0
3,4,0
4,4,0
5,4,0
6,4,0
7,4,0
8,4,0
9,4,0
0,5,0
1,5,0
2,5,0
3,5,0.0022058825
4,5,0.050490197
5,5,0
6,5,0
7,5,0
8,5,0
9,5,0
0,6,0
1,6,0
2,6,0
3,6,0.3897059
4,6,1.0115196
5,6,0.34142157
6,6,0
7,6,0
8,6,0
9,6,0
0,7,0
1,7,0
2,7,0.5127451
3,7,0.84117645
4,7,0.9313725
5,7,0.4879902
6,7,0
7,7,0
8,7,0
9,7,0
0,8,0
1,8,0.19901961
2,8,0.88284314
3,8,0.44362745
4,8,0.35906863
5,8,0.39632353
6,8,0
7,8,0
8,8,0
9,8,0
0,9,0
1,9,0.10245098
2,9,0.52009803
3,9,0.2990196
4,9,0.28014705
5,9,0.63161767
6,9,1.0745099
7,9,2.3740196
8,9,0
9,9,0
