x,y,value
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
0,2,0
1,2,0
2,2,0
3,2,0
4,2,0
5,2,0
6,2,0
7,2,0
8,2,0
9,2,0
0,3,0
1,3,0
2,3,0
3,3,0
4,3,0
5,3,0
6,3,0
7,3,0
8,3,0
9,3,0
0,4,0
1,4,0
2,4,0
3,4,0.1171875
4,4,0
5,4,0
6,4,0
7,4,0
8,4,0
9,4,0
0,5,0
1,5,0.020399306
2,5,2.0273438
3,5,5.9895835
4,5,3.9453125
5,5,1.8107638
6,5,0
7,5,0
8,5,0
9,5,0
0,6,0
1,6,0.35069445
2,6,3.360243
3,6,3.857205
4,6,2.5043402
5,6,1.2743056
6,6,0
7,6,0
8,6,0
9,6,0
0,7,0.039496526
1,7,1.0221354
2,7,2.6610243
3,7,2.799045
4,7,0.5859375
5,7,0.3702257
6,7,0.16753472
7,7,0
8,7,0
9,7,0
0,8,0.14756945
1,8,1.6128472
2,8,0.89800346
3,8,0.61675346
4,8,1
5,8,0.5920139
6,8,0.3125
7,8,0
8,8,0
9,8,0
0,9,0.09375
1,9,1.2608507
2,9,0.4561632
3,9,0.79210067
4,9,0.6831597
5,9,0.47612846
6,9,0.17708333
7,9,10.266927
8,9,0
9,9,0
